Period,Grocery,Produce,Dairy,Kitchen,Beverage,Frozen,Bakery,Deli,Meat,Cheese,Beer,Sushi,Meat_Pre_Packed,Pre_Priced_Bread,Nuts,Fish,Salad_Bar,Pre_Priced_Chips_and_Cookies,Flower,Total_Sales,COGS,Payroll
2022-01-01,127940.31 ,111252.72,78734.07,74338.08,45426.95,33424.95,30341.47,24062.51,21121.84,16917.37,16766.49,12708.54,7146.68,4935.20,4767.24,3745.16,2757.60,2182.76,2127.83,620697.77,349729.74,115074.89
2024-02-22,110461.08 ,95605.00,67158.28,66174.76,47270.67,30109.50,30024.95,21237.89,13787.16,17105.36,18661.71,15407.23,7760.25,4313.81,4155.00,3174.74,2889.30,2626.13,4164.33,562087.15,273365.85,273365.85
2024-03-22,110755.89 ,99144.25,69693.93,70379.39,51868.43,29916.43,34415.44,25409.00,11604.61,18160.93,19692.24,18197.96,8274.30,3728.13,4696.82,3952.55,3883.53,4011.51,6137.58,592922.92,276739.49,109169.43
2024-04-22,99747.40 ,94397.17,66737.73,70098.90,51263.61,29204.13,32356.83,23677.48,10781.89,18131.20,19185.82,16502.38,6880.59,3228.32,6068.33,3260.77,4164.70,2326.35,8412.48,566462.08,335438.90,146030.78
2024-05-22,100082.51 ,93736.78,67579.50,71483.23,54651.88,32502.94,33106.54,30167.68,10803.90,16557.12,19659.49,17025.40,7659.81,3480.92,6015.76,2923.75,4966.64,3170.29,8407.50,583981.64,303029.18,115106.90
2024-06-22,94701.89 ,89108.38,62463.15,72612.17,56606.12,32534.94,32162.16,29353.48,10906.58,15797.86,20187.89,17519.57,7872.33,3021.33,5890.62,2311.65,6609.84,3135.39,4860.02,567655.37,266725.90,113909.27
2024-07-22,92961.59 ,84497.27,59690.93,66649.71,60667.16,29463.93,29922.08,26160.37,9544.20,17030.14,20892.95,18277.16,8114.48,3238.83,5718.45,2023.87,5772.45,3062.14,4082.39,547770.10,302866.37,145283.41
2024-08-22,96827.02 ,85582.99,59475.43,69562.10,58078.97,29915.49,30729.63,24066.49,9317.75,16105.79,18565.80,20398.44,7456.17,3430.10,5505.09,2519.33,6228.25,2859.66,2812.79,549437.29,292907.55,113171.46
2024-09-22,102783.97 ,82976.99,66818.36,68661.15,58725.33,32057.18,32989.85,25369.25,10698.50,16870.59,20433.34,18946.80,8747.27,3665.24,6485.80,2498.50,6253.38,3631.03,3357.63,571970.16,301632.48,149448.34
2024-10-22,114825.17 ,87097.29,70497.87,69661.94,59562.81,33482.21,35782.99,25244.79,11924.24,18846.42,22693.75,18714.52,8480.63,3670.30,6965.42,2830.28,6007.53,5001.75,4542.55,605832.46,310033.93,119064.13
2024-11-22,115066.23 ,81375.59,68766.72,74744.28,54779.56,30983.38,38174.48,24772.35,11595.40,19380.17,18268.03,16031.54,7792.65,3834.82,6773.44,1825.34,5859.42,4285.19,4816.93,589125.52,297257.74,113085.18
2024-12-22,113422.56 ,83162.86,63162.16,75171.83,56865.81,28406.54,37254.37,25530.87,10879.46,22333.34,20257.65,15963.04,7886.46,4136.80,6161.23,2520.33,3054.18,4779.28,3473.37,584422.14,273071.69,148510.98
2024-01-23,113349.35 ,89919.57,68930.41,72211.37,59878.48,32630.50,36261.40,23755.41,13039.97,18756.65,17005.07,16988.19,8480.38,4067.21,6314.94,3173.67,2987.11,4551.57,3201.21,595502.46,345173.07,122081.01
2024-02-23,104767.62 ,73758.57,60014.30,66753.82,52674.94,30858.91,36030.31,24717.70,11279.03,16367.02,17491.52,16390.96,6552.65,3506.21,5584.32,2319.08,2820.51,5114.60,6263.10,543365.17,273816.88,119108.90
2024-03-23,117263.53 ,82533.78,64553.84,74924.48,52650.20,34478.64,40011.19,26265.36,10971.81,16629.94,17936.97,17651.10,7488.97,3750.15,6631.01,2517.16,2930.33,4849.07,5800.35,589837.88,254099.85,148510.79
2024-04-23,113908.59 ,83700.11,63045.78,71264.08,53176.83,31017.46,36611.14,24450.85,10720.40,16868.31,19216.28,20789.41,7432.62,3637.70,6346.25,2518.98,3166.81,4331.21,5571.15,577773.96,392566.87,121351.69
2024-05-23,116473.47 ,86240.54,61236.56,72412.02,57417.59,32866.87,38241.45,26579.02,10512.99,17243.65,20089.59,21110.13,7027.36,3415.66,6157.55,2807.74,3119.32,4272.70,7257.05,594481.26,273006.18,120625.58
2024-06-23,105531.02 ,78082.94,55831.48,70077.77,56168.50,29932.34,35111.60,27930.47,9694.91,16588.57,21155.97,20073.17,6687.74,3251.97,5317.47,2023.02,3487.59,3992.30,2630.81,553569.64,275117.56,148902.33
2024-07-23,104665.61 ,80376.74,57182.72,68355.19,60570.70,30082.26,32976.76,25086.88,7999.76,15268.50,21985.60,19500.90,6295.01,3048.12,5450.30,1478.84,2957.85,4843.05,1380.96,549505.75,282652.87,120032.30
2024-08-23,104646.45 ,75318.73,56020.78,69957.76,57721.13,29715.92,34910.26,24400.72,8983.23,15666.28,20992.75,20228.09,6308.40,3363.76,5343.48,2095.89,3128.63,5170.88,1773.08,545746.22,275157.15,119038.76
2024-09-23,122497.41 ,82456.00,65025.72,71695.06,55895.52,32045.30,37382.76,25007.91,10069.32,17306.08,20055.01,19726.20,7282.85,3521.82,5987.24,1952.03,3149.78,5559.57,2562.54,589178.12,247317.31,146508.29
