Date,Grocery,Produce,Kitchen,Dairy,Beverage,Bakery,Frozen,Deli,Cheese,Beer,Sushi,Meat,Meat Pre-Packed,Nuts,Pre-Priced Chips and Cookies,Pre-Priced Bread,Flower,Fish,Salad Bar,Total Sales,COGS,Payroll
1/1/22 0:00,"$5,548.81 ","$3,376.39 ","$4,458.72 ","$2,961.61 ","$3,589.01 ","$1,945.22 ","$1,196.73 ","$2,277.08 ","$1,001.37 ","$1,465.31 ","$1,821.70 ","$1,309.72 ",$613.73 ,$245.10 ,$325.04 ,$393.66 ,$609.54 ,$197.66 ,$269.91 ,"$33,606.31 ","$16,803.16 ","$8,401.58 "
1/2/22 0:00,"$5,715.19 ","$3,364.91 ","$4,817.45 ","$2,650.20 ","$3,256.63 ","$1,898.23 ","$1,570.00 ","$2,055.60 ","$1,383.11 ","$1,624.31 ","$1,653.02 ","$1,924.82 ",$460.21 ,$283.87 ,$305.41 ,$516.56 ,$744.52 ,$331.53 ,$334.01 ,"$34,889.58 ","$17,444.79 ","$8,722.39 "
1/3/22 0:00,"$5,602.76 ","$3,260.90 ","$4,769.05 ","$2,505.91 ","$3,564.65 ","$1,423.03 ","$1,534.95 ","$2,307.94 ","$1,406.72 ","$1,070.72 ","$1,932.37 ","$1,050.51 ",$310.72 ,$242.16 ,$177.89 ,$483.42 ,$622.48 ,$310.91 ,$169.23 ,"$32,746.32 ","$16,373.16 ","$8,186.58 "
1/4/22 0:00,"$5,544.88 ","$3,495.97 ","$4,677.89 ","$2,466.02 ","$3,318.03 ","$1,095.67 ","$1,389.79 ","$2,046.26 ","$1,363.89 ","$1,884.06 ","$1,796.80 ","$1,272.03 ",$623.86 ,$224.88 ,$344.30 ,$545.16 ,$705.12 ,$216.59 ,$317.91 ,"$33,329.11 ","$16,664.56 ","$8,332.28 "
1/5/22 0:00,"$5,423.65 ","$3,681.74 ","$4,319.83 ","$2,890.38 ","$3,153.67 ","$1,404.54 ","$1,800.54 ","$2,430.03 ","$1,802.40 ","$1,378.58 ","$1,694.22 ","$1,533.39 ",$580.33 ,$241.40 ,$336.74 ,$382.04 ,$770.41 ,$208.06 ,$228.73 ,"$34,260.68 ","$17,130.34 ","$8,565.17 "
1/6/22 0:00,"$5,645.89 ","$3,277.34 ","$4,196.45 ","$2,028.26 ","$3,444.49 ","$1,535.90 ","$1,731.16 ","$2,225.80 ","$1,095.56 ","$1,206.93 ","$1,661.14 ","$1,740.20 ",$393.14 ,$282.39 ,$289.22 ,$534.69 ,$705.23 ,$301.16 ,$178.12 ,"$32,473.07 ","$16,236.54 ","$8,118.27 "
1/7/22 0:00,"$5,437.59 ","$3,524.38 ","$4,671.53 ","$2,113.81 ","$3,495.10 ","$1,904.40 ","$1,687.88 ","$2,703.65 ","$1,114.90 ","$1,500.78 ","$1,556.84 ","$1,228.06 ",$620.60 ,$204.49 ,$208.40 ,$503.12 ,$563.88 ,$304.45 ,$207.23 ,"$33,551.09 ","$16,775.55 ","$8,387.77 "
1/8/22 0:00,"$5,891.77 ","$3,117.38 ","$4,842.97 ","$2,102.07 ","$3,989.77 ","$1,294.88 ","$1,502.68 ","$2,220.18 ","$1,233.46 ","$1,929.82 ","$1,805.12 ","$1,300.34 ",$518.72 ,$248.88 ,$150.22 ,$455.51 ,$615.30 ,$151.22 ,$184.86 ,"$33,555.15 ","$16,777.58 ","$8,388.79 "
1/9/22 0:00,"$5,963.66 ","$3,159.85 ","$4,016.25 ","$2,756.94 ","$3,042.39 ","$1,308.86 ","$1,043.45 ","$2,081.43 ","$1,513.73 ","$1,694.29 ","$1,891.30 ","$1,194.54 ",$511.73 ,$219.35 ,$247.17 ,$480.65 ,$609.81 ,$320.24 ,$167.84 ,"$32,223.48 ","$16,111.74 ","$8,055.87 "
1/10/22 0:00,"$5,383.44 ","$3,046.81 ","$4,642.80 ","$2,339.65 ","$3,301.16 ","$1,627.18 ","$1,428.03 ","$2,838.80 ","$1,725.90 ","$1,340.09 ","$1,711.23 ","$1,443.06 ",$251.96 ,$206.03 ,$268.96 ,$517.53 ,$831.67 ,$239.40 ,$202.31 ,"$33,346.01 ","$16,673.00 ","$8,336.50 "
